MAE,RMSE,R²,EVS,MAPE (%),Modelo,Tiempo de Entrenamiento (s),Tiempo de Predicción (s)
0.19030799038937207,0.28448341106857383,0.9188879371465409,0.9188880375224971,217.34272278005466,Random Forest,120.9199,1.5799
0.2008049308020409,0.29465451104084833,0.9129842752172797,0.9129852894090716,217.864188672824,XGBoost,0.7015,0.0228
0.22226342207411776,0.33425227159057497,0.8880252018962169,0.8880261106998913,248.49016493274414,Decision Tree,1.243,0.0127
0.2561337373233058,0.38275233404553294,0.8531725525860281,0.8531730108916367,241.11402948730264,Linear Regression,0.0918,0.0058
