mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.895335753758749,0.17145058433181323,1.6550262769063313,0.07815114474183318,0.8,1.5,0.0,700,5,0.2,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9420168640882411,0.9431923986864558,0.939691394010863,0.9416335522618532,0.0014547518463795838,7
50.83542982737223,0.6283375449972711,21.35493262608846,1.0528664975594255,0.8,1.5,0.1,1000,10,0.01,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9385954633179658,0.9400165341205596,0.9365352194772184,0.9383824056385812,0.0014292032961395098,13
16.472533226013184,0.09795015324735769,1.7001523971557617,0.03657759692419835,0.6,1.0,1.0,700,5,0.05,0.5,0.6,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.9221447538501826,0.9237054017953086,0.9202223588628281,0.9220241715027732,0.001424500402306163,32
7.411844730377197,0.27827003496406977,0.8477849960327148,0.06261894914977414,1.0,0.5,0.0,300,5,0.1,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}",0.9266644968330631,0.9295873648950921,0.9254880683308523,0.9272466433530026,0.0017234130881103782,28
4.707782347997029,0.11000598086924149,0.5521246592203776,0.04534378198776739,1.0,1.0,0.0,100,7,0.05,0.0,0.6,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.9039683867850866,0.9059873623231717,0.9037071398884935,0.9045542963322507,0.0010189278960410118,39
18.50697072347005,0.02838444367384472,4.209025621414185,0.08383729288119189,0.8,0.5,0.0,300,10,0.01,0.0,0.6,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 0.6}",0.8971364410536238,0.8988894095408708,0.8964878771436788,0.8975045759127246,0.0010143904309336026,43
11.77134402592977,0.20484815244114338,1.3713374137878418,0.14806734929537005,0.8,0.5,1.0,700,10,0.1,0.5,1.0,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 1, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1.0}",0.9398329276298203,0.9412770910336956,0.93806034511682,0.9397234545934453,0.0013155105048874433,10
2.6147103309631348,0.06161735986860072,0.17516032854715982,0.0030951672715328264,0.6,2.0,0.5,100,3,0.1,0.0,0.6,"{'subsample': 0.6, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.8863392594307584,0.8878452588640134,0.8867018971489937,0.8869621384812553,0.00064176981153891,47
4.592015027999878,0.03826995966189831,0.49877333641052246,0.01393135175272415,0.8,1.5,0.5,100,7,0.01,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.6967952155116574,0.7006223007302473,0.6978928340918698,0.6984367834445915,0.001609048578370105,50
7.4965096314748125,0.09834477964262797,0.6254367033640543,0.0455734430461758,0.8,1.5,1.0,500,7,0.2,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9325890737661765,0.9352352630684331,0.930971452708464,0.9329319298476912,0.001757494886842923,18
20.092011610666912,0.16168334011576554,4.050895690917969,0.140318977855979,1.0,1.5,0.1,300,10,0.01,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.9103001059982088,0.9119238403916677,0.9098928090054881,0.9107055851317881,0.0008773376844134616,36
